Result with TF-IDF
Extracted Keywords:
fuel, oil, said, contract, diesel, defense, austerity


*Frequency table*
              Word  Local_Frequency  Universal_Frequency
0             fuel         0.388453                  512
1              oil         0.341772                 5937
2             said         0.306548                41346
3         contract         0.284539                  795
4           diesel         0.200617                  110
5          defense         0.169947                  975
6        austerity         0.150463                   29
7               lt         0.142269                 9196
8          awarded         0.142269                  148
9          barrels         0.137476                  682
10        measures         0.137476                  604
11          energy         0.132683                 1295
12           sales         0.100309                 3422
13            sale         0.100309                 2487
14          agency         0.100309                  891
15           shell         0.097113                  633
16          gallon         0.097113                   84
17           quake         0.094846                   40
18      television         0.093088                  354
19        kerosene         0.093088                   66
20        ministry         0.091651                 1051
21           mines         0.089384                  282
22              50         0.088456                 4173
23       announced         0.088456                 1174
24          prices         0.087625                 3773
25   international         0.087625                 2635
26          barrel         0.087625                  564
27        minister         0.086188                 1252
28        bringing         0.084974                  250
29        products         0.084430                 1946
30             gas         0.082567                 1997
31          medium         0.082163                  373
32         foreign         0.079511                 2595
33           heavy         0.077753                  810
34         company         0.071438                 6446
35         imports         0.050154                 2150
36              51         0.050154                 1124
37              57         0.050154                  730
38             ban         0.050154                  279
39      suspension         0.050154                  169
40         linking         0.050154                   65
41       declaring         0.050154                   43
42        holidays         0.050154                   38
43      indefinite         0.050154                   30
44        conserve         0.050154                   29
45            0600         0.050154                   20
46         volcano         0.050154                   17
47       paralyzed         0.050154                   17
48              19         0.048557                 2999
49         exports         0.048557                 2724
50              75         0.048557                 1607
51              90         0.048557                 1497
52              55         0.048557                 1331
53      registered         0.048557                  303
54        refining         0.048557                  109
55        aviation         0.048557                  109
56          routes         0.048557                   49
57        weekends         0.048557                   34
58          posted         0.047423                 1063
59           joint         0.047423                  538
60         venture         0.047423                  355
61           basin         0.047423                  106
62         pumping         0.047423                   59
63              14         0.046544                 4088
64         product         0.046544                 1179
65           crude         0.046544                 1049
66          raises         0.046544                  360
67        thursday         0.046544                  320
68           owned         0.045825                  948
